Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),Quantity
H8347003,ITOEN-F011X4,Y,H8347003_S_ITOEN-F011X4,NO USE - [Japan Version] Oi Ocha Dark Tea 525ml x 4 (Parallel Import) (93006),NO USE - ????????? 525ml x 4 (????) (93006),H834700301,0,offline,Y,N,23-Jul-21,29-May-22,Itoen,???,300,250,250,525 ml x 4,525 ?? x 4,AA11224510001,???,HKD,98,58,40.81633, , , , ,3
H8347003,L-IONB-001,Y,H8347003_S_L-IONB-001,IONBOXX NB-01 Mini Air Purifier,IONBOXX NB-01 ??????????,H834700301,1,online,N,N,24-Feb-22,1-Jan-99,IonBoxx,IonBoxx,210,140,210,1 PC,1,AA32230510001,???????,HKD,4999,3960,20.78416, , , , ,4
H8347003,L-NSG-016,Y,H8347003_S_L-NSG-016,[????]SWITCH - RING FIT ADVENTURE [HONGKONG VERSION][WITH CHINESE INTERFACE],[????]NINTENDO SWITCH - ?????? [???-?????],H834700301,0,online,Y,Y,5-Jul-21,1-Jan-99,Nintendo,Nintendo,400,400,250,1 PC,1?,AA31300510001,Switch ??,HKD,1980,538,72.82828, , , , ,5
H8347003,L-NSG-041,Y,H8347003_S_L-NSG-041,SWITCH GAME - MOVING OUT (parallel import),SWITCH GAME : ???? -MOVING OUT (????),H834700301,0,online,Y,Y,5-Jul-21,,Nintendo,Nintendo,210,120,210,1 PC,1?,AA31300510001,Switch ??,HKD,498,226,54.61847, , , , ,65
H8347003,L-NSG-TOYCON-1,Y,H8347003_S_L-NSG-TOYCON-1,NINTENDO Switch Labo Toy-Con 01 5 IN 1 SET(parallel import),NINTENDO ??? Switch Labo Toy-Con 01 ????(????),H834700301,0,online,Y,Y,27-Jul-21,,Nintendo,Nintendo,450,550,250,,,AA31300510001,Switch ??,HKD,988,168,82.99595, , , , ,76
H8347003,L-NSG-TOYCON-DKIT,Y,H8347003_S_L-NSG-TOYCON-DKIT,NINTENDO Switch Labo DRIVE KIT-Toy-Con 03 (parallel import),NINTENDO ??? Switch Labo Toy-Con 03 ??????(????),H834700301,0,online,Y,N,27-Jul-21,,Nintendo,Nintendo,350,250,250,,,AA31300510001,Switch ??,HKD,988,128,87.04453, , , , ,78
H8347003,NSG-001,Y,H8347003_S_NSG-001,NO USE,NO USE,H834700301,0,offline,Y,N,1-Jul-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31253005001,?????,HKD,498,438,12.04819, , , , ,
H8347003,NSG-119,Y,H8347003_S_NSG-119,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,238,52.20884, , , , ,
H8347003,NSG-120,Y,H8347003_S_NSG-120,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,258,48.19277, , , , ,
H8347003,NSG-121,Y,H8347003_S_NSG-121,NO USE,NO USE,H834700301,0,offline,N,N,15-Aug-21,29-May-22,Nintendo,Nintendo,210,120,210,,,AA31300510001,Switch ??,HKD,498,258,48.19277, , , , ,
